SN:3K430000012749 BD:Apr 19 2021 VC:7d9ffae MD5:34e03199e6006f2831fb02c414d62259
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,     RD0_raw_us,         LTC0_v,      LTC0_v_sd,         LTC1_v,      LTC1_v_sd,             HZ,          HZ_sd,         Batt_v,      Batt_v_sd,        BattPer,     BattPer_sd, Temp_Status_mA,Analyzer_Status_mA,       Fit_Flag,      MIU_VALVE,       MIU_DESC
2023/07/24 21:30:38.474, 1.53899e+2, 0.00000e+0, 5.94540e+2, 0.00000e+0, 5.35542e+4, 0.00000e+0, 1.62607e+2, 0.00000e+0, 6.28182e+2, 0.00000e+0, 5.00102e+2, 0.00000e+0, 4.05488e+1, 0.00000e+0, 4.32366e+1, 0.00000e+0, 3.60240e+0, 0.00000e+0, 3.03275e+0, 0.00000e+0, 0.00000e+0, -2.92986e-1, 0.00000e+0, -4.90947e+0, 0.00000e+0, 9.88435e-2, 0.00000e+0, 5.08708e+0, 0.00000e+0, 8.85165e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 3, 2, 
2023/07/24 21:30:48.658, 1.53467e+2, 0.00000e+0, 5.94149e+2, 0.00000e+0, 5.34933e+4, 0.00000e+0, 1.62140e+2, 0.00000e+0, 6.27728e+2, 0.00000e+0, 5.00110e+2, 0.00000e+0, 4.05536e+1, 0.00000e+0, 4.32422e+1, 0.00000e+0, 3.60176e+0, 0.00000e+0, 3.03278e+0, 0.00000e+0, 0.00000e+0, -2.92986e-1, 0.00000e+0, -4.90947e+0, 0.00000e+0, 9.82511e-2, 0.00000e+0, 5.08553e+0, 0.00000e+0, 8.84247e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 3, 3, 
2023/07/24 21:30:58.778, 1.51737e+2, 0.00000e+0, 5.91974e+2, 0.00000e+0, 5.31715e+4, 0.00000e+0, 1.60259e+2, 0.00000e+0, 6.25217e+2, 0.00000e+0, 5.00107e+2, 0.00000e+0, 4.05556e+1, 0.00000e+0, 4.32630e+1, 0.00000e+0, 3.59944e+0, 0.00000e+0, 3.03281e+0, 0.00000e+0, 0.00000e+0, -2.92986e-1, 0.00000e+0, -4.90947e+0, 0.00000e+0, 9.87947e-2, 0.00000e+0, 5.08443e+0, 0.00000e+0, 8.83591e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 3, 4, 
2023/07/24 21:31:08.959, 1.51993e+2, 0.00000e+0, 5.92845e+2, 0.00000e+0, 5.28952e+4, 0.00000e+0, 1.60481e+2, 0.00000e+0, 6.25955e+2, 0.00000e+0, 5.00073e+2, 0.00000e+0, 4.05591e+1, 0.00000e+0, 4.32759e+1, 0.00000e+0, 3.59988e+0, 0.00000e+0, 3.03282e+0, 0.00000e+0, 0.00000e+0, -2.92986e-1, 0.00000e+0, -4.90947e+0, 0.00000e+0, 9.82608e-2, 0.00000e+0, 5.08295e+0, 0.00000e+0, 8.82710e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 3, 5, 
2023/07/24 21:31:19.082, 1.50957e+2, 0.00000e+0, 5.91824e+2, 0.00000e+0, 5.25962e+4, 0.00000e+0, 1.59338e+2, 0.00000e+0, 6.24679e+2, 0.00000e+0, 5.00043e+2, 0.00000e+0, 4.05596e+1, 0.00000e+0, 4.32831e+1, 0.00000e+0, 3.59826e+0, 0.00000e+0, 3.03272e+0, 0.00000e+0, 0.00000e+0, -2.92986e-1, 0.00000e+0, -4.90947e+0, 0.00000e+0, 9.87362e-2, 0.00000e+0, 5.08104e+0, 0.00000e+0, 8.81573e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 3, 6, 
2023/07/24 21:31:29.260, 1.50388e+2, 0.00000e+0, 5.91263e+2, 0.00000e+0, 5.25062e+4, 0.00000e+0, 1.58722e+2, 0.00000e+0, 6.24029e+2, 0.00000e+0, 5.00044e+2, 0.00000e+0, 4.05682e+1, 0.00000e+0, 4.32889e+1, 0.00000e+0, 3.59734e+0, 0.00000e+0, 3.03287e+0, 0.00000e+0, 0.00000e+0, -2.92986e-1, 0.00000e+0, -4.90947e+0, 0.00000e+0, 9.82801e-2, 0.00000e+0, 5.07967e+0, 0.00000e+0, 8.80754e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 3, 7, 
2023/07/24 21:31:39.457, 1.50137e+2, 0.00000e+0, 5.90958e+2, 0.00000e+0, 5.27232e+4, 0.00000e+0, 1.58494e+2, 0.00000e+0, 6.23850e+2, 0.00000e+0, 5.00082e+2, 0.00000e+0, 4.05649e+1, 0.00000e+0, 4.33093e+1, 0.00000e+0, 3.59725e+0, 0.00000e+0, 3.03266e+0, 0.00000e+0, 0.00000e+0, -2.92986e-1, 0.00000e+0, -4.90947e+0, 0.00000e+0, 9.80681e-2, 0.00000e+0, 5.07796e+0, 0.00000e+0, 8.79737e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 3, 8, 
2023/07/24 21:31:49.561, 1.48375e+2, 0.00000e+0, 5.87907e+2, 0.00000e+0, 5.29171e+4, 0.00000e+0, 1.56666e+2, 0.00000e+0, 6.20756e+2, 0.00000e+0, 5.00111e+2, 0.00000e+0, 4.05700e+1, 0.00000e+0, 4.32819e+1, 0.00000e+0, 3.59398e+0, 0.00000e+0, 3.03288e+0, 0.00000e+0, 0.00000e+0, -2.92986e-1, 0.00000e+0, -4.90947e+0, 0.00000e+0, 9.90001e-2, 0.00000e+0, 5.07642e+0, 0.00000e+0, 8.78821e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 3, 1, 
2023/07/24 21:31:59.759, 1.48482e+2, 0.00000e+0, 5.88512e+2, 0.00000e+0, 5.27588e+4, 0.00000e+0, 1.56752e+2, 0.00000e+0, 6.21291e+2, 0.00000e+0, 5.00107e+2, 0.00000e+0, 4.05712e+1, 0.00000e+0, 4.32735e+1, 0.00000e+0, 3.59434e+0, 0.00000e+0, 3.03288e+0, 0.00000e+0, 0.00000e+0, -2.92986e-1, 0.00000e+0, -4.90947e+0, 0.00000e+0, 9.80296e-2, 0.00000e+0, 5.07493e+0, 0.00000e+0, 8.77932e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 3, 2, 
2023/07/24 21:32:09.860, 1.47362e+2, 0.00000e+0, 5.86565e+2, 0.00000e+0, 5.30484e+4, 0.00000e+0, 1.55618e+2, 0.00000e+0, 6.19425e+2, 0.00000e+0, 5.00104e+2, 0.00000e+0, 4.05744e+1, 0.00000e+0, 4.32707e+1, 0.00000e+0, 3.59240e+0, 0.00000e+0, 3.03259e+0, 0.00000e+0, 0.00000e+0, -2.92986e-1, 0.00000e+0, -4.90947e+0, 0.00000e+0, 9.90393e-2, 0.00000e+0, 5.07343e+0, 0.00000e+0, 8.77044e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 3, 3, 
